Cited_DOI	Last_Cited_Year
10.1007/3-540-48054-4_7	2000
10.1007/3-540-48054-4_8	2000
10.1007/3-540-48054-4_9	2000
10.1007/3-540-48168-0_6	2001
10.1007/3-540-48184-2_13	1994
10.1007/3-540-48184-2_15	1994
10.1007/3-540-48184-2_17	1994
10.1007/3-540-48228-8_71	2002
10.1007/3-540-48252-0_3	1999
10.1007/3-540-48298-9_1	1999
10.1007/3-540-48298-9_31	1999
10.1007/3-540-48298-9_7	2001
10.1007/3-540-48309-8_31	1999
10.1007/3-540-48309-8_7	2000
10.1007/3-540-48309-8_71	2001
10.1007/3-540-48309-8_89	2000
10.1007/3-540-48319-5_16	2002
10.1007/3-540-48329-2_26	1998
10.1007/3-540-48344-6_10	2000
10.1007/3-540-48344-6_12	2000
10.1007/3-540-48344-6_13	2000
10.1007/3-540-48344-6_7	2000
10.1007/3-540-48414-0_7	1999
10.1007/3-540-48482-5	2000
10.1007/3-540-48482-5_11	2000
10.1007/3-540-48482-5_16	2000
10.1007/3-540-48482-5_18	1999
10.1007/3-540-48482-5_9	2000
10.1007/3-540-48521-x_10	1999
10.1007/3-540-48521-x_11	1999
10.1007/3-540-48521-x_12	1999
10.1007/3-540-48521-x_13	1999
10.1007/3-540-48521-x_14	1999
10.1007/3-540-48521-x_15	1999
10.1007/3-540-48521-x_16	1999
10.1007/3-540-48521-x_17	1999
10.1007/3-540-48521-x_18	2000
10.1007/3-540-48521-x_19	1999
10.1007/3-540-48521-x_2	1999
10.1007/3-540-48521-x_20	1999
10.1007/3-540-48521-x_21	1999
10.1007/3-540-48521-x_22	1999
10.1007/3-540-48521-x_23	1999
10.1007/3-540-48521-x_24	1999
10.1007/3-540-48521-x_3	1999
10.1007/3-540-48521-x_4	1999
10.1007/3-540-48521-x_6	1999
10.1007/3-540-48521-x_7	1999
10.1007/3-540-48521-x_8	1999
10.1007/3-540-48521-x_9	1999
10.1007/3-540-48523-6_10	2000
10.1007/3-540-48523-6_30	2000
10.1007/3-540-48683-6_37	2000
10.1007/3-540-48738-7_14	1999
10.1007/3-540-48738-7_22	2000
10.1007/3-540-48738-7_25	1999
10.1007/3-540-48738-7_29	1999
10.1007/3-540-48738-7_4	1999
10.1007/3-540-48738-7_40	1999
10.1007/3-540-48747-6_20	2000
10.1007/3-540-48854-5_17	1999
10.1007/3-540-48854-5_18	1998
10.1007/3-540-48854-5_7	1999
10.1007/3-540-48912-6_45	2001
10.1007/3-540-48962-2_1	1999
10.1007/3-540-48962-2_23	1999
10.1007/3-540-48983-5_15	2000
10.1007/3-540-49257-7_11	1999
10.1007/3-540-49257-7_12	2000
10.1007/3-540-49257-7_13	2000
10.1007/3-540-49257-7_14	2000
10.1007/3-540-49257-7_15	2001
10.1007/3-540-49257-7_16	1999
10.1007/3-540-49257-7_18	2001
10.1007/3-540-49257-7_19	2001
10.1007/3-540-49257-7_21	2001
10.1007/3-540-49257-7_22	2001
