conference	authors	title	year	DOI
arXiv preprint arXiv:1710.11054	Jacob Devlin, Jonathan Uesato, Rishabh Singh, and Pushmeet Kohli	Semantic Code Repair using Neuro-Symbolic Transformation Networks	2017	NOT_FOUND
IEEE International Conference on Software Analysis, Evolution and Reengineering	Thomas Durieux, Benoit Cornu, Lionel Seinturier, and Martin Monperrus	Dynamic Patch Generation for Null Pointer Exceptions Using Metaprogramming	2017	10.1109/saner.2017.7884635
Proceedings of the 39th International Conference on Software Engineering: New Ideas and Emerging Results Track	Thomas Durieux, Youssef Hamadi, and Martin Monperrus	Production-Driven Patch Generation	2017	10.1109/icse-nier.2017.8
IEEE Transactions on Software Engineering	Luca Gazzola, Daniela Micucci, and Leonardo Mariani	Automatic software repair: A survey	2017	NOT_FOUND
Proceedings of the AAAI Conference on Artificial Intelligence	Rahul Gupta, Soham Pal, Aditya Kanade, and Shirish Shevade	DeepFix: Fixing Common C Language Errors by Deep Learning	2017	NOT_FOUND
Journal of Systems and Software	Xianglong Kong, Lingming Zhang, W Eric Wong, and Bixin Li	The impacts of techniques, programs and tests on automated program repair: An empirical study	2017	NOT_FOUND
Proceedings Companion of the 2017 ACM SIGPLAN International Conference on Systems, Programming, Languages, and Applications: Software for Humanity	Derrick Lin, James Koppel, Angela Chen, and Armando Solar-Lezama	QuixBugs: a multi-lingual program repair benchmark set based on the quixey challenge	2017	10.1145/3135932.3135941
Proceedings of the 2017 11th Joint Meeting on Foundations of Software Engineering	Fan Long, Peter Amidon, and Martin Rinard	Automatic Inference of Code Transforms for Patch Generation	2017	10.1145/3106237.3106253
European Symposium on Research in Computer Security	Siqi Ma, Ferdian Thung, David Lo, Cong Sun, and Robert H Deng	Vurle: Automatic vulnerability detection and repair by learning from examples	2017	10.1007/978-3-319-66399-9_13
Empirical Software Engineering	Matias Martinez, Thomas Durieux, Romain Sommerard, Jifeng Xuan, and Martin Monperrus	Automatic Repair of Real Bugs in Java: A Large-Scale Experiment on the Defects4J Dataset	2017	NOT_FOUND
ACM Computing Surveys	Martin Monperrus	Automatic Software Repair: a Bibliography	2017	NOT_FOUND
